,Modelo,JJA
0,ACCESS-CM2,0.142929
1,ACCESS-ESM1-5,0.329317
2,BCC-CSM2-MR,0.350516
3,CAMS-CSM1-0,0.0555158
4,CanESM5,0.356419
5,CESM2_,0.207363
6,CESM2-WACCM,0.407966
7,CMCC-CM2-SR5,0.510057
8,CNRM-CM6-1,-0.0858158
9,CNRM-ESM2-1,-0.0659653
10,EC-Earth3,0.254456
11,FGOALS-g3,0.250333
12,HadGEM3-GC31-LL,0.306997
13,HadGEM3-GC31-MM,0.199968
14,IITM-ESM,-0.330043
15,INM-CM4-8,-0.194179
16,INM-CM5-0,-0.0103028
17,KACE-1-0-G,0.163455
18,MIROC6,-0.0416245
19,MIROC-ES2L,-0.217343
20,MPI-ESM1-2-HR,0.466197
21,MPI-ESM1-2-LR,0.0148918
22,MRI-ESM2-0,0.230402
23,NESM3,0.0799612
24,NorESM2-LM,0.40622
25,NorESM2-MM,0.397071
26,TaiESM1,0.189114
27,UKESM1-0-LL,0.211832
